time,gyro_x,gyro_y,gyro_z,bme_temp,bme_h,bme_p,bmp_temp,bmp_p,bmp_alt,gps_lat,gps_lon,gps_alt,gyro_x_R,gyro_y_R,gyro_z_R,bme_temp_R,bme_h_R,bme_p_R,bmp_temp_R,bmp_p_R,bmp_alt_R,gps_lat_R,gps_lon_R,gps_alt_R
00:00:00,-,-0.94,0.29,-,55.05,957.84,20.73,940.2,-,nan,76.542795,404.52,-0.29,0.04,0.25,19.76,54.62,948.94,19.75,950.22,404.71,12.34558,76.543172,405.82
00:00:01,0.47,0.7,-0.46,19.22,56.08,941.1,21.49,942.79,403.81,12.345461,76.542977,406.49,0.39,-0.33,0.42,19.65,54.51,952.52,20.13,952.17,404.04,12.345719,76.543257,405.78
00:00:02,-0.41,0.13,-0.91,21.34,56.4,958.03,21.08,951.27,387.96,12.345661,76.543742,408.82,-0.12,0.08,0.19,19.53,55.15,948.33,20.25,949.09,406.96,12.345721,76.543207,405.04
00:00:03,-0.25,-0.9,0.14,20.71,56.62,959.16,18.68,947.39,388.42,12.345469,76.542283,404.71,-0.3,-0.06,-0.49,19.74,55.0,949.86,20.49,949.4,406.74,12.345722,76.54315,404.79
00:00:04,0.89,-0.23,0.09,19.35,53.82,948.58,20.69,948.76,399.94,12.344694,76.543227,405.62,-0.14,0.21,-0.34,19.87,55.24,949.03,20.27,949.95,404.01,12.345608,76.543163,405.27
00:00:05,-0.35,-0.42,-0.85,20.54,56.11,958.81,20.97,959.79,409.16,12.345429,76.543606,404.06,-0.24,-0.42,0.23,19.83,54.6,947.58,19.91,949.77,403.81,12.345655,76.543283,404.48
00:00:06,-0.92,0.11,-0.22,21.56,54.35,946.69,20.8,942.82,389.16,12.346454,76.54415,402.47,-0.27,0.27,-0.42,20.49,54.95,950.09,19.89,951.06,404.2,12.345642,76.543227,405.51
00:00:07,-0.04,-0.96,-0.69,19.12,55.08,959.54,20.13,950.39,393.91,12.346112,76.54406,408.44,-0.12,0.05,-0.45,20.03,54.88,952.27,19.98,951.81,406.41,12.345685,76.543275,405.06
00:00:08,0.21,-0.56,0.32,20.62,54.63,953.87,18.36,945.0,407.32,12.345762,76.543077,409.38,0.04,0.33,-0.4,19.59,54.59,951.02,19.59,947.46,403.96,12.345629,76.543215,404.87
00:00:09,0.04,-0.87,0.99,18.19,52.99,947.86,20.85,941.7,397.95,12.346125,76.542475,406.26,0.35,-0.31,-0.45,20.17,55.1,949.03,19.79,947.11,406.19,12.345646,76.543252,405.17
