Time,Type,Location,Message,Details,ML_Flag,ML_Details
2025-10-08 17:22:24.388,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-08 17:22:24.397,ERROR,Terminal,"File ""C:\updated\GUI NEW\tabs\rocketpy_tab.py"", line 35, in run_simulation","File ""C:\updated\GUI NEW\tabs\rocketpy_tab.py"", line 35, in run_simulation",0,
2025-10-08 17:22:24.406,ERROR,Terminal,"motor = SolidMotor(burnOut=3.9, thrustSource=1500, totalImpulse=3000,","motor = SolidMotor(burnOut=3.9, thrustSource=1500, totalImpulse=3000,",0,
2025-10-08 17:22:24.416,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.428,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.443,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.463,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.484,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.510,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.537,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.568,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.600,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.636,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.675,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.716,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.764,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.823,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.888,ERROR,Terminal,^,^,0,
2025-10-08 17:22:24.941,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.003,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.059,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.119,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.179,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.244,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.328,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.399,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.486,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.565,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.645,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.739,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.847,ERROR,Terminal,^,^,0,
2025-10-08 17:22:25.950,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.052,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.147,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.263,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.373,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.480,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.594,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.703,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.808,ERROR,Terminal,^,^,0,
2025-10-08 17:22:26.912,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.020,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.129,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.248,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.366,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.487,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.608,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.739,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.864,ERROR,Terminal,^,^,0,
2025-10-08 17:22:27.999,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.130,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.265,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.402,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.545,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.687,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.837,ERROR,Terminal,^,^,0,
2025-10-08 17:22:28.988,ERROR,Terminal,^,^,0,
2025-10-08 17:22:29.140,ERROR,Terminal,^,^,0,
2025-10-08 17:22:29.294,ERROR,Terminal,^,^,0,
2025-10-08 17:22:29.450,ERROR,Terminal,^,^,0,
2025-10-08 17:22:29.636,ERROR,Terminal,^,^,0,
2025-10-08 17:22:29.807,ERROR,Terminal,^,^,0,
2025-10-08 17:22:29.983,ERROR,Terminal,^,^,0,
2025-10-08 17:22:30.204,ERROR,Terminal,^,^,0,
2025-10-08 17:22:30.421,ERROR,Terminal,TypeError,TypeError,0,
2025-10-08 17:22:30.621,ERROR,Terminal,:,:,0,
2025-10-08 17:22:30.913,ERROR,Terminal,SolidMotor.__init__() got an unexpected keyword argument 'burnOut',SolidMotor.__init__() got an unexpected keyword argument 'burnOut',1,Keyword 'unexpected'
2025-10-08 18:13:40.192,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-08 18:13:40.376,ERROR,Terminal,"File ""C:\updated\GUI NEW\dashboard1.py"", line 192, in toggleCockpitWindow","File ""C:\updated\GUI NEW\dashboard1.py"", line 192, in toggleCockpitWindow",0,
2025-10-08 18:13:40.564,ERROR,Terminal,self.cockpit_window.showCockpit(),self.cockpit_window.showCockpit(),0,
2025-10-08 18:13:40.748,ERROR,Terminal,^,^,0,
2025-10-08 18:13:40.935,ERROR,Terminal,^,^,0,
2025-10-08 18:13:41.125,ERROR,Terminal,^,^,0,
2025-10-08 18:13:41.323,ERROR,Terminal,^,^,0,
2025-10-08 18:13:41.517,ERROR,Terminal,^,^,0,
2025-10-08 18:13:41.745,ERROR,Terminal,^,^,0,
2025-10-08 18:13:42.012,ERROR,Terminal,^,^,0,
2025-10-08 18:13:42.279,ERROR,Terminal,^,^,0,
2025-10-08 18:13:42.519,ERROR,Terminal,^,^,0,
2025-10-08 18:13:42.728,ERROR,Terminal,^,^,0,
2025-10-08 18:13:42.939,ERROR,Terminal,^,^,0,
2025-10-08 18:13:43.170,ERROR,Terminal,^,^,0,
2025-10-08 18:13:43.397,ERROR,Terminal,^,^,0,
2025-10-08 18:13:43.651,ERROR,Terminal,^,^,0,
2025-10-08 18:13:43.878,ERROR,Terminal,^,^,0,
2025-10-08 18:13:44.177,ERROR,Terminal,^,^,0,
2025-10-08 18:13:44.409,ERROR,Terminal,^,^,0,
2025-10-08 18:13:44.644,ERROR,Terminal,^,^,0,
2025-10-08 18:13:44.883,ERROR,Terminal,^,^,0,
2025-10-08 18:13:45.127,ERROR,Terminal,^,^,0,
2025-10-08 18:13:45.369,ERROR,Terminal,^,^,0,
2025-10-08 18:13:45.629,ERROR,Terminal,^,^,0,
2025-10-08 18:13:45.910,ERROR,Terminal,^,^,0,
2025-10-08 18:13:46.187,ERROR,Terminal,^,^,0,
2025-10-08 18:13:46.513,ERROR,Terminal,^,^,0,
2025-10-08 18:13:46.814,ERROR,Terminal,^,^,0,
2025-10-08 18:13:47.132,ERROR,Terminal,^,^,0,
2025-10-08 18:13:47.422,ERROR,Terminal,^,^,0,
2025-10-08 18:13:47.696,ERROR,Terminal,^,^,0,
2025-10-08 18:13:47.990,ERROR,Terminal,^,^,0,
2025-10-08 18:13:48.270,ERROR,Terminal,^,^,0,
2025-10-08 18:13:48.556,ERROR,Terminal,AttributeError,AttributeError,0,
2025-10-08 18:13:48.848,ERROR,Terminal,:,:,0,
2025-10-08 18:13:49.210,ERROR,Terminal,'CockpitFloatingWindow' object has no attribute 'showCockpit','CockpitFloatingWindow' object has no attribute 'showCockpit',0,
2025-10-08 18:13:53.748,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-08 18:13:54.058,ERROR,Terminal,"File ""C:\updated\GUI NEW\dashboard1.py"", line 192, in toggleCockpitWindow","File ""C:\updated\GUI NEW\dashboard1.py"", line 192, in toggleCockpitWindow",0,
2025-10-08 18:13:54.384,ERROR,Terminal,self.cockpit_window.showCockpit(),self.cockpit_window.showCockpit(),0,
2025-10-08 18:13:54.744,ERROR,Terminal,^,^,0,
2025-10-08 18:13:55.077,ERROR,Terminal,^,^,0,
2025-10-08 18:13:55.373,ERROR,Terminal,^,^,0,
2025-10-08 18:13:55.668,ERROR,Terminal,^,^,0,
2025-10-08 18:13:55.970,ERROR,Terminal,^,^,0,
2025-10-08 18:13:56.271,ERROR,Terminal,^,^,0,
2025-10-08 18:13:56.583,ERROR,Terminal,^,^,0,
2025-10-08 18:13:56.888,ERROR,Terminal,^,^,0,
2025-10-08 18:13:57.197,ERROR,Terminal,^,^,0,
2025-10-08 18:13:57.518,ERROR,Terminal,^,^,0,
