Time,Type,Location,Message,Details,ML_Flag,ML_Details
2025-10-11 23:34:26.463,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-11 23:34:26.472,ERROR,Terminal,"File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^","File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^",0,
2025-10-11 23:34:26.479,ERROR,Terminal,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,0,
2025-10-11 23:34:27.424,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-11 23:34:27.438,ERROR,Terminal,"File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^","File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^",0,
2025-10-11 23:34:27.453,ERROR,Terminal,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,0,
2025-10-11 23:34:34.806,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-11 23:34:34.827,ERROR,Terminal,"File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^","File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^",0,
2025-10-11 23:34:34.851,ERROR,Terminal,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,0,
2025-10-11 23:34:35.530,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-11 23:34:35.559,ERROR,Terminal,"File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^","File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^",0,
2025-10-11 23:34:35.593,ERROR,Terminal,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,0,
2025-10-11 23:34:35.785,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-11 23:34:35.822,ERROR,Terminal,"File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^","File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^",0,
2025-10-11 23:34:35.863,ERROR,Terminal,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,0,
2025-10-11 23:34:35.974,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-11 23:34:36.020,ERROR,Terminal,"File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^","File ""C:\MERN_TT\dashboard1.py"", line 255, in open_input_source_dialog
    dialog.inputsourceselected.connect(self.handle_input_source_selected)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^",0,
2025-10-11 23:34:36.069,ERROR,Terminal,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,AttributeError: 'InputSourceDialog' object has no attribute 'inputsourceselected'. Did you mean: 'input_source_selected'?,0,
2025-10-13 01:18:55.183,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:55.243,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:55.305,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:55.368,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
2025-10-13 01:18:55.435,ERROR,Terminal,"File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)","File ""C:\MERN_TT\cockpit_tab.py"", line 74, in paintEvent
    pen_bg = QPen(self.bg_arc_color, max(10, arc_w * 0.06), cap=Qt.RoundCap)",0,
2025-10-13 01:18:55.500,ERROR,Terminal,AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',AttributeError: PySide6.QtGui.QPen.__init__(): unsupported keyword 'cap',0,
2025-10-13 01:18:55.573,ERROR,Terminal,Traceback (most recent call last):,Traceback (most recent call last):,0,
