time,temperature_2m,pressure_msl,relative_humidity_2m,wind_speed_10m,wind_direction_10m
2024-10-23T00:00,23.3,1011.0,90,4.9,350
2024-10-23T01:00,22.9,1010.8,92,5.8,358
2024-10-23T02:00,22.7,1010.7,92,6.1,358
2024-10-23T03:00,22.5,1010.5,92,5.8,356
2024-10-23T04:00,22.4,1010.6,92,4.2,348
2024-10-23T05:00,22.1,1011.0,93,4.5,353
2024-10-23T06:00,23.6,1012.2,88,1.9,41
2024-10-23T07:00,25.4,1012.6,84,2.7,318
2024-10-23T08:00,27.6,1012.9,72,2.2,312
2024-10-23T09:00,29.3,1012.6,65,2.8,288
2024-10-23T10:00,30.8,1012.2,59,4.1,285
2024-10-23T11:00,31.8,1010.9,54,5.2,295
2024-10-23T12:00,32.2,1009.7,50,6.2,296
2024-10-23T13:00,32.3,1008.8,49,6.0,297
2024-10-23T14:00,32.3,1008.2,49,5.1,302
2024-10-23T15:00,31.9,1008.0,51,5.3,308
2024-10-23T16:00,30.4,1008.3,66,3.7,317
2024-10-23T17:00,27.7,1008.7,74,7.4,337
2024-10-23T18:00,27.2,1009.3,76,6.5,312
2024-10-23T19:00,26.7,1010.0,78,5.2,338
2024-10-23T20:00,25.6,1010.4,83,6.3,353
2024-10-23T21:00,25.3,1010.7,82,5.0,15
2024-10-23T22:00,24.8,1010.5,84,5.2,14
2024-10-23T23:00,24.5,1010.4,84,5.2,2
2024-10-24T00:00,24.1,1009.9,87,4.7,4
2024-10-24T01:00,23.9,1009.6,88,5.6,40
2024-10-24T02:00,24.3,1009.8,85,9.2,91
2024-10-24T03:00,23.6,1009.4,89,7.0,90
2024-10-24T04:00,24.3,1009.5,81,8.4,67
2024-10-24T05:00,23.6,1009.8,81,10.2,67
2024-10-24T06:00,23.6,1010.7,84,10.0,76
2024-10-24T07:00,24.4,1011.5,80,8.7,60
2024-10-24T08:00,25.9,1012.2,75,9.6,74
2024-10-24T09:00,27.5,1012.4,71,12.2,91
2024-10-24T10:00,28.9,1011.8,67,14.2,99
2024-10-24T11:00,29.9,1010.6,64,13.9,95
2024-10-24T12:00,30.7,1009.3,61,13.0,91
2024-10-24T13:00,31.2,1008.2,57,13.5,88
2024-10-24T14:00,31.1,1007.4,57,14.0,89
2024-10-24T15:00,30.5,1007.4,57,14.4,94
2024-10-24T16:00,29.3,1007.7,62,10.3,96
2024-10-24T17:00,27.5,1008.2,68,7.4,86
2024-10-24T18:00,26.3,1009.4,73,7.2,90
2024-10-24T19:00,25.6,1010.4,76,7.5,82
2024-10-24T20:00,25.0,1010.9,78,9.2,84
2024-10-24T21:00,24.7,1011.6,77,11.1,82
2024-10-24T22:00,24.4,1011.6,78,10.4,80
2024-10-24T23:00,23.8,1011.1,81,9.2,67
2024-10-25T00:00,23.4,1010.5,81,10.3,67
2024-10-25T01:00,22.8,1010.0,82,8.4,62
2024-10-25T02:00,22.1,1009.6,86,7.0,50
2024-10-25T03:00,21.6,1009.4,87,7.6,56
2024-10-25T04:00,21.2,1009.5,86,7.7,69
2024-10-25T05:00,20.9,1010.2,84,7.1,75
2024-10-25T06:00,21.6,1010.9,79,7.6,71
2024-10-25T07:00,23.0,1011.6,75,6.7,90
2024-10-25T08:00,24.5,1012.3,70,8.4,115
2024-10-25T09:00,26.0,1012.5,66,10.6,120
2024-10-25T10:00,27.3,1012.1,61,13.6,120
2024-10-25T11:00,28.5,1011.2,58,14.1,113
2024-10-25T12:00,29.3,1010.2,55,14.0,112
2024-10-25T13:00,29.7,1009.3,54,12.8,107
2024-10-25T14:00,29.7,1008.6,54,11.8,98
2024-10-25T15:00,29.4,1008.5,55,11.8,101
2024-10-25T16:00,28.3,1009.1,61,9.0,102
